鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,source_file
"萬華區","租賃房屋","臺北市萬華區萬大路１３７巷１６號２樓","0.0","","","","1140313","土地0建物1車位0","二層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0640508","45.88","2","1","1","有","無","有","16500","360","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPQNMLOKLHKGFBA47CC","整棟(戶)出租","無","1140331~1150330","無","熱水器、洗衣機、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"萬華區","租賃房屋","臺北市萬華區青年路１６８巷１３號５樓之２","0.0","","","","1140312","土地0建物1車位0","五層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0640523","38.37","2","1","1","有","無","無","13000","339","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPRNMLOKLHKGFBA57CC","整棟(戶)出租","無","1140320~1150319","無","冷氣、熱水器、洗衣機、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"萬華區","租賃房屋","臺北市萬華區東園街２８巷５０號３樓之２","0.0","","","","1140313","土地0建物1車位0","三層","6","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0810921","33.87","1","1","1","有","有","無","12000","354","","0.0","0","","RPWNMLOKLHKGFBA08CC","獨立套房","無","1140313~1150319","有","冷氣、熱水器、洗衣機","","a_lvr_land_c.csv"
"萬華區","租賃房屋","臺北市萬華區長沙街二段１４８號九樓之１","0.0","","","","1140311","土地0建物1車位0","九層","18","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1080304","93.86","2","1","1","有","有","有","32400","345","","0.0","0","此為臺北市社會住宅包租代管計畫之物件，評定市價租金為36000元，因選擇代管方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額為32400元。管理費每個月2600元不包含在租金內","RPOOMLOKLHKGFBA37CC","整棟(戶)出租","有","1140415~1150414","有","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"萬華區","租賃房屋","臺北市萬華區貴陽街二段２２１號五樓之３","0.0","","","","1140312","土地0建物1車位0","五層","11","住宅大樓(11層含以上有電梯)","見使用執照","鋼筋混凝土造","0890930","126.06","2","2","2","有","有","有","23000","182","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPQOMLOKLHKGFBA57CC","整棟(戶)出租","有","1140330~1150329","有","冷氣、熱水器、電視機、冰箱、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"萬華區","租賃房屋","臺北市萬華區環河南路二段２２１號三樓","0.0","","","","1140312","土地0建物1車位0","三層","4","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0640905","84.2","2","1","1","有","無","無","16500","196","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPROMLOKLHKGFBA67CC","整棟(戶)出租","無","1140316~1150315","無","冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"萬華區","租賃房屋","臺北市萬華區武昌街二段１２４之２號８樓之３","0.0","","","","1140313","土地0建物1車位0","八層","9","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0630806","33.24","1","1","1","有","有","有","16000","481","","0.0","0","","RPPPMLOKLHKGFBA57CC","獨立套房","有","1140327~1150326","有","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區中山區八德路二段６６號二樓之５","0.0","","","","1140312","土地0建物1車位0","二層","11","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造","0950323","249.64","1","0","1","有","有","無","26500","106","","0.0","0","續租案件；","RPSNMLOKLHKGFCA77CC","獨立套房","有","1140312~1160304","有","冷氣、熱水器、洗衣機、電視機、冰箱","社會住宅包租轉租","a_lvr_land_c.csv"
"內湖區","租賃房屋","臺北市內湖區康樂街７２巷６弄１號","0.0","","","","1140313","土地0建物1車位0","一層","5","公寓(5樓含以下無電梯)","商業用","鋼筋混凝土造","0760112","94.63","0","0","0","無","無","無","60000","634","","0.0","0","","RPUNMLOKLHKGFCA97CC","","無","1140415~1170414","無","瓦斯或天然氣","","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區林森北路４７２號二樓之６","0.0","","","","1140312","土地0建物1車位0","二層","10","華廈(10層含以下有電梯)","商業用","鋼筋混凝土造","0850730","22.42","1","0","1","有","有","有","7500","335","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPXNMLOKLHKGFCA28CC","獨立套房","有","1140320~1150319","有","冷氣、熱水器、冰箱","社會住宅包租轉租","a_lvr_land_c.csv"
