鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,source_file
"信義區","房地(土地+建物)+車位","臺北市信義區吳興街６００巷３２號三樓","26.98","住","","","1090519","土地2建物1車位1","三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131126","180.28","3","2","2","有","無","34620000","223338","坡道平面","36.91","2600000","預售屋、或土地及建物分件登記案件；","RPWOMLLLLHKGFDA18EA","84.34","0.0","11.55","有","","a_lvr_land_a.csv"
"信義區","房地(土地+建物)+車位","臺北市信義區吳興街６００巷３２號五樓","26.98","住","","","1090510","土地2建物1車位1","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131126","180.28","3","2","2","有","無","35170000","226477","坡道平面","36.91","2700000","預售屋、或土地及建物分件登記案件；","RPXOMLLLLHKGFDA28EA","84.34","0.0","11.55","有","","a_lvr_land_a.csv"
"信義區","房地(土地+建物)+車位","臺北市信義區吳興街６００巷３２號十一樓","27.13","住","","","1090502","土地2建物1車位2","十一層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131126","217.18","3","2","2","有","無","39600000","237165","坡道平面","73.82","5600000","預售屋、或土地及建物分件登記案件；","RPXPMLLLLHKGFDA38EA","84.34","0.0","11.55","有","","a_lvr_land_a.csv"
"信義區","房地(土地+建物)+車位","臺北市信義區吳興街６００巷２２號九樓","22.8","住","","","1090430","土地2建物1車位1","九層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131126","156.86","3","2","2","有","無","31030000","235348","坡道平面","36.91","2800000","110.2.24辦理換約讓渡予配偶預售屋、或土地及建物分件登記案件；","RPUOMLLLLHKGFDA97EA","71.21","0.0","9.06","有","","a_lvr_land_a.csv"
"信義區","房地(土地+建物)+車位","臺北市信義區吳興街６００巷２６號十二樓","13.38","住","","","1090414","土地2建物1車位1","十二層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131126","104.88","2","1","1","有","無","19520000","245991","坡道平面","36.91","2800000","原購109.4.14配偶間讓渡換約預售屋、或土地及建物分件登記案件；","RPPPMLLLLHKGFDA57EA","41.59","0.0","3.9","有","","a_lvr_land_a.csv"
"信義區","房地(土地+建物)+車位","臺北市信義區吳興街６００巷３０號三樓","13.45","住","","","1090412","土地2建物1車位1","三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131126","105.14","2","1","1","有","無","17700000","221310","坡道平面","36.91","2600000","預售屋、或土地及建物分件登記案件；","RPQPMLLLLHKGFDA67EA","41.79","0.0","3.85","有","","a_lvr_land_a.csv"
"信義區","房地(土地+建物)+車位","臺北市信義區吳興街６００巷２６號九樓","13.38","住","","","1090325","土地2建物1車位1","九層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131126","104.88","2","1","1","有","無","18650000","234662","坡道平面","36.91","2700000","預售屋、或土地及建物分件登記案件；","RPOPMLLLLHKGFDA47EA","41.59","0.0","3.9","有","","a_lvr_land_a.csv"
"北投區","房地(土地+建物)+車位","臺北市北投區洲美里福善路","32.98","住","","","1140311","土地1建物1車位1","六層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","","154.3","3","2","2","有","無","42760000","318117","坡道平面","29.0","2900000","","RPUNMLLKLHKGFEA77CB","達麗河?","A棟A3-6F號","","a_lvr_land_b.csv"
"士林區","房地(土地+建物)","臺北市士林區中山北路六段290巷30號","9.43","住","","","1140312","土地1建物1車位0","十層","11","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","","50.82","1","1","1","有","無","19580000","385281","","0.0","0","","RPPNMLNKLHKGFEA47CB","璽琚","C-10號","","a_lvr_land_b.csv"
"信義區","房地(土地+建物)+車位","臺北市信義區忠孝東路五段236巷10弄10號2樓","21.09","住","","","1140311","土地11建物1車位1","十三層","18","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","","182.34","3","2","2","有","無","77600000","508790","坡道平面","37.29","3800000","","RPQNMLOKLHKGFDA57CB","璞松高","A6-13F號","","a_lvr_land_b.csv"
