編號,鄉鎮市區,土地位置建物門牌,租賃年月日,總額元,出租型態,租賃天數,主要用途,主要用途分類,租賃層次,租賃層次分類,總樓層數,建物型態,交易筆棟數-土地,交易筆棟數-建物,租賃住宅服務,有無管理組織,有無管理員,有無附傢俱,有無電梯,主要建材,主要建材分類,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,建物總面積平方公尺,單價元平方公尺,建築完成年月,屋齡,屋齡分類,附屬設備-冷氣,附屬設備-熱水器,附屬設備-洗衣機,附屬設備-電視機,附屬設備-冰箱,附屬設備-瓦斯或天然氣,附屬設備-有線電視,附屬設備-網路
RPPNMLOJRHIGFDA97DC,松山區,臺北市松山區復興北路８１巷２４號三樓,2023-07-24,42000,整棟(戶)出租,365,住家用,住宅類,三層,低樓層,4,公寓(5樓含以下無電梯),1,1,NA,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,2,2,2,1,99.74,421,1971-10-04,51,40年以上,1,1,1,0,1,1,0,0
RPPNMLPJRHIGFAA67CC,中正區,臺北市中正區惠安街７之１號１樓,2023-09-01,26000,整棟(戶)出租,365,店鋪、集合住宅,住宅類,一層,低樓層,7,華廈(10層含以下有電梯),1,1,社會住宅代管,0,0,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,1,2,1,59.68,436,1980-10-29,42,40年以上,1,1,1,1,1,0,0,0
RPRNMLPJRHIGFCA08CC,中山區,臺北市中山區新生北路二段６２巷１６號３樓之３,2023-08-11,65000,整棟(戶)出租,386,住家用,住宅類,三層,低樓層,19,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼骨鋼筋混凝土造,鋼筋混凝土造類,2,2,1,1,97.3,668,2016-03-22,7,5-10年,1,1,1,1,1,1,0,0
RPVNMLPJRHIGFCA48CC,中山區,臺北市中山區林森北路２８９號８樓之６,2023-08-21,26500,整棟(戶)出租,365,住家用,住宅類,八層,低樓層,12,住宅大樓(11層含以上有電梯),0,1,一般包租,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,43.3,612,1977-01-21,46,40年以上,1,0,0,0,0,0,0,0
RPWNMLPJRHIGFCA58CC,中山區,臺北市中山區中山北路二段６２巷５號三樓,2023-08-24,37000,整棟(戶)出租,365,住家用,住宅類,三層,低樓層,5,公寓(5樓含以下無電梯),0,1,一般包租,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,4,2,2,1,123.67,299,1977-02-01,46,40年以上,1,0,1,1,1,0,0,0
RPRNMLPJRHIGFFA38CC,大安區,臺北市大安區羅斯福路二段８５號７樓之６,2023-08-22,65000,整棟(戶)出租,365,住家用,住宅類,七層,低樓層,15,住宅大樓(11層含以上有電梯),0,1,一般轉租,1,1,1,1,鋼骨造,鋼骨類,1,1,1,1,67.52,963,2021-10-28,1,新屋,1,1,1,0,1,0,0,0
RPSNMLPJRHIGFFA48CC,大安區,臺北市大安區忠孝東路四段２１６巷３２弄１８號４樓,2023-08-24,69000,NA,1095,住家用,住宅類,四層,低樓層,6,華廈(10層含以下有電梯),0,1,NA,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,2,2,1,172.56,400,1992-11-10,30,20-30年,0,0,0,0,0,0,0,0
RPQNMLQJRHIGFAA87CC,中正區,臺北市中正區和平西路一段５９號６樓之９,2023-08-30,21000,整棟(戶)出租,365,住家用,住宅類,六層,低樓層,14,住宅大樓(11層含以上有電梯),0,1,社會住宅代管,1,1,0,1,鋼骨造,鋼骨類,1,1,1,1,40.519999999999996,518,2008-05-13,15,10-20年,0,1,0,0,0,0,0,0
RPVNMLQJRHIGFAA38CC,中正區,臺北市中正區廈門街１４７巷５號１樓,2023-08-24,18000,整棟(戶)出租,365,住家用,住宅類,一層,低樓層,5,公寓(5樓含以下無電梯),1,1,社會住宅代管,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,79.52,226,1998-11-21,24,20-30年,0,1,0,0,0,0,0,0
RPQNMLQJRHIGFBA97CC,萬華區,臺北市萬華區萬大路１８７巷１弄２８號４樓,2023-08-15,10000,整棟(戶)出租,365,住家用,住宅類,四層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,31.18,321,1975-05-08,48,40年以上,1,1,0,0,1,1,0,0
