鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,source_file,x,y,最近捷運站,捷運站距離(公尺),文湖線,淡水信義線,新北投支線,松山新店線,小碧潭支線,中和新蘆線,板南線,環狀線,通車日期
萬華區,租賃房屋,臺北市萬華區和平西路三段１４３號３樓,0.0,,,,1140313,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,750221.0,147.82,3,2,2,有,有,有,30000,203,,0.0,0,續租案件；,RPSOMLLLLHKGFBA57CC,整棟(戶)出租,無,1140411~1150410,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管,a_lvr_land_c.csv,121.498927977634,25.035443997493,龍山寺,60.8152677412011,0,0,0,0,0,0,1,0,1999-12-24
大同區,租賃房屋,臺北市大同區民權西路２６８號３樓之５,0.0,,,,1140311,土地0建物1車位0,三層,15,辦公商業大樓,Ｇ２第２８組一般事務所,鋼筋混凝土造,1110209.0,113.66,0,1,1,有,有,無,42000,370,,0.0,0,,RPTOMLLLLHKGFBA67CC,,有,1140401~1190331,有,,,a_lvr_land_c.csv,121.512017995823,25.062730989914,大橋頭,58.41226140331916,0,0,0,0,0,1,0,0,2010-11-03
大同區,租賃房屋,臺北市大同區市民大道一段２１１號１０樓之２,0.0,,,,1140315,土地0建物1車位0,十層,18,住宅大樓(11層含以上有電梯),一般事務所,鋼骨造,980724.0,57.79,0,0,0,無,有,無,48925,847,,0.0,0,租金總額含稅；,RPUOMLLLLHKGFBA77CC,,有,1140401~1160331,有,冷氣、熱水器、冰箱,,a_lvr_land_c.csv,121.518411795384,25.049134201859,台北車站,342.91476159469903,0,1,0,0,0,0,1,0,1998-12-24
內湖區,租賃房屋,臺北市內湖區瑞光路１２２巷４１弄４號三樓,0.0,,,,1140319,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,860519.0,103.63,3,2,2,有,有,有,35000,338,,0.0,0,此為臺北市社會住宅包租代管計畫之物件，評定市價租金為38900元，因選擇代管方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額為35000元。,RPRNMLLLLHKGFCA47CC,整棟(戶)出租,有,1140501~1150430,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管,a_lvr_land_c.csv,121.579805967202,25.071964997366,文德,949.3537906636462,1,0,0,0,0,0,0,0,2009-07-04
內湖區,租賃房屋,臺北市內湖區堤頂大道二段２８３號５樓-１,0.0,,,,1140317,土地0建物1車位0,五層,6,廠辦,工業用,鋼筋混凝土造,890118.0,205.62,3,0,1,有,無,無,47250,230,,0.0,0,此租賃物為增建，承租坪數約62.2坪租金總額含稅；含增建或未登記建物；,RPSNMLLLLHKGFCA57CC,,無,1140501~1200430,有,冷氣,,a_lvr_land_c.csv,121.565750018491,25.078531003128,西湖,432.9589407390088,1,0,0,0,0,0,0,0,2009-07-04
中山區,租賃房屋+車位,臺北市中山區松江路６０號１３樓之１,0.0,,,,1140311,土地0建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),第二組多戶住宅,鋼筋混凝土造,1051223.0,260.32,3,2,2,有,有,有,125000,480,坡道平面,42.74,0,,RPTNMLLLLHKGFCA67CC,整棟(戶)出租,有,1140401~1160331,有,冷氣、熱水器、冰箱、瓦斯或天然氣,,a_lvr_land_c.csv,121.532689026339,25.048901981231,松江南京,328.31855891181976,0,0,0,1,0,1,0,0,2010-11-03
中山區,租賃房屋,臺北市中山區松江路１２４巷１３號,0.0,,,,1140315,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,600829.0,76.19,0,1,1,有,無,無,65000,853,,0.0,0,114年4月1日起至114年4月30日止為免租裝潢期。,RPPOMLLLLHKGFCA37CC,,無,1140401~1170331,無,,,a_lvr_land_c.csv,121.531740027262,25.052633981711,松江南京,109.61694252989614,0,0,0,1,0,1,0,0,2010-11-03
中山區,租賃房屋,臺北市中山區農安街７７巷１６號３樓,0.0,,,,1140319,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730901.0,109.59,3,2,2,有,無,有,35000,319,,0.0,0,續租案件；,RPVOMLLLLHKGFCA97CC,整棟(戶)出租,無,1140412~1150411,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管,a_lvr_land_c.csv,121.528446023133,25.066360018713,中山國小,457.46748651222833,0,0,0,0,0,1,0,0,2010-11-03
內湖區,租賃房屋+車位,臺北市內湖區洲子街１０８號,0.0,,,,1140313,土地0建物1車位1,一層,10,店面(店鋪),工業用,鋼筋混凝土造,871015.0,247.9,0,0,0,無,有,無,150000,605,坡道平面,32.28,0,,RPWOMLLLLHKGFCA08CC,,有,1140401~1190515,有,冷氣,,a_lvr_land_c.csv,121.569826724739,25.080378290769,西湖,387.4021411150709,1,0,0,0,0,0,0,0,2009-07-04
內湖區,租賃房屋,臺北市內湖區內湖路一段２８５巷６９弄１６號７樓,0.0,,,,1140313,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,701230.0,110.24,4,2,2,有,有,有,25000,227,,0.0,0,管理費：150元，租金不含管理費,RPRPMLLLLHKGFCA67CC,整棟(戶)出租,有,1140401~1150331,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管,a_lvr_land_c.csv,121.567960996911,25.084960006683,西湖,320.07824688785774,1,0,0,0,0,0,0,0,2009-07-04
信義區,租賃房屋,臺北市信義區松仁路２５３巷３弄７號二樓,37.25,住,,,1140312,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,571224.0,101.35,4,2,1,有,無,無,32000,316,,0.0,0,,RPQNMLLLLHKGFDA47CC,整棟(戶)出租,無,1140312~1170331,無,熱水器、瓦斯或天然氣,,a_lvr_land_c.csv,121.569311992065,25.025920982019,象山,788.0213251803635,0,1,0,0,0,0,0,0,2013-11-24
