"鄉鎮市區","總額元","租賃年月日","出租型態","租賃層次(四類)","總樓層數","建物型態","交易筆棟數-土地","交易筆棟數-建物","租賃住宅服務","租賃天數","有無管理組織","有無管理員","有無附傢俱","有無電梯","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物現況格局-隔間","建物總面積平方公尺","屋齡","建材分類","附屬設備-冷氣","附屬設備-熱水器","附屬設備-洗衣機","附屬設備-電視機","附屬設備-冰箱","附屬設備-瓦斯或天然氣","附屬設備-有線電視","附屬設備-網路","捷運站距離(公尺)","附近建物單位成交均價","捷運線","Predicted","AbsError","MAPE"
"大安區",32000,19586,"整棟(戶)出租","低樓層",4,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,3,2,2,1,101.03,54,"加強磚造類",1,1,0,0,1,1,0,0,197.384185654064,507.766666666667,"文湖線",33504.1785753768,1504.17857537677,0.047005580480524
"大同區",18500,19611,"整棟(戶)出租","低樓層",7,"華廈(10層含以下有電梯)",0,1,"社會住宅代管",365,1,1,1,1,1,0,1,1,30.09,15,"鋼筋混凝土造類",1,1,1,1,1,0,0,0,126.588090585346,425.55,"中和新蘆線",16345.5183541622,2154.48164583776,0.116458467342582
"大同區",20000,19612,"整棟(戶)出租","低樓層",4,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,1,1,1,0,2,1,1,1,57.43,47,"鋼筋混凝土造類",1,1,1,1,1,1,0,0,835.920231048124,371.7,"中和新蘆線",18712.9057958019,1287.09420419809,0.0643547102099044
"信義區",35000,19605,"整棟(戶)出租","低樓層",4,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,2,2,2,1,92.77,51,"鋼筋混凝土造類",1,1,1,1,0,1,0,0,404.280145063801,606.571428571429,"板南線",28302.8937074642,6697.10629253577,0.19134589407245
"士林區",35000,19611,"整棟(戶)出租","低樓層",4,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,3,2,2,1,102.98,52,"鋼筋混凝土造類",1,1,0,0,0,1,0,0,726.86124480401,319.033333333333,"淡水信義線",27413.0271282401,7586.97287175994,0.216770653478856
"中正區",35000,19611,"整棟(戶)出租","低樓層",7,"華廈(10層含以下有電梯)",0,1,"社會住宅代管",365,1,1,1,1,1,2,1,1,56.65,4,"鋼筋混凝土造類",1,1,1,1,0,1,0,0,569.680638255557,377,"松山新店線",26950.5431079457,8049.45689205426,0.229984482630122
"中山區",9800,19598,"整棟(戶)出租","中樓層",12,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅代管",365,1,1,1,1,1,0,1,1,38.01,42,"鋼筋混凝土造類",1,1,0,0,0,0,0,0,203.051799793502,511.1,"中和新蘆線",11440.71261413,1640.71261412997,0.167419654503058
"北投區",24500,19602,"獨立套房","低樓層",7,"華廈(10層含以下有電梯)",1,1,"未知",365,1,1,1,1,1,1,1,1,39.44,4,"鋼筋混凝土造類",1,1,1,1,1,1,1,1,1219.73806690085,384.8,"淡水信義線",22977.211746196,1522.78825380402,0.0621546226042459
"士林區",28200,19611,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",3,1,"未知",1095,0,0,1,0,3,2,2,1,105.05,43,"鋼筋混凝土造類",1,1,1,0,1,1,0,0,505.048937016044,319.941176470588,"淡水信義線",30726.9229296468,2526.92292964681,0.0896071960867662
"北投區",19500,19604,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"一般包租",365,0,0,0,0,3,2,2,1,117.86,42,"鋼筋混凝土造類",1,0,0,0,0,0,0,0,840.016099474618,331,"淡水信義線",30271.3300159704,10771.3300159704,0.552375898254892
"北投區",18500,19612,"整棟(戶)出租","低樓層",7,"華廈(10層含以下有電梯)",2,1,"未知",365,1,1,0,1,2,1,1,1,48.41,45,"鋼筋混凝土造類",1,1,0,0,0,1,0,0,49.6908734221082,309.928571428571,"淡水信義線",20430.3652691946,1930.36526919456,0.104344068605111
"內湖區",18000,19601,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,2,1,1,1,63.44,39,"鋼筋混凝土造類",1,1,1,0,1,0,0,0,480.519761337534,382.166666666667,"文湖線",23077.3938891627,5077.39388916267,0.282077438286815
"士林區",55000,19613,"未知","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"未知",1521,0,0,0,0,0,0,0,0,126.3,42,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,499.342564972729,480.333333333333,"淡水信義線",62905.9419224283,7905.94192242828,0.143744398589605
"大安區",30000,19610,"整棟(戶)出租","低樓層",14,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅代管",365,1,0,0,1,2,2,1,1,83.38,36,"鋼筋混凝土造類",1,1,0,0,0,0,0,0,422.643383302884,510.866666666667,"文湖線",27811.4943240733,2188.50567592674,0.0729501891975578
"萬華區",28000,19599,"整棟(戶)出租","低樓層",4,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,2,2,1,1,45.17,50,"鋼筋混凝土造類",1,1,1,1,1,0,0,0,469.686606786743,383.866666666667,"板南線",16646.966940869,11353.033059131,0.405465466397534
"萬華區",15000,19614,"整棟(戶)出租","中樓層",12,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅代管",365,1,1,0,1,2,1,1,1,46.08,44,"鋼筋混凝土造類",1,1,0,0,0,1,0,0,1232.55892565544,339.233333333333,"松山新店線",16778.4259387163,1778.42593871625,0.11856172924775
"萬華區",26000,19604,"整棟(戶)出租","低樓層",4,"公寓(5樓含以下無電梯)",0,1,"社會住宅包租轉租",365,0,0,0,0,3,1,1,1,86.49,51,"鋼筋混凝土造類",1,1,1,0,1,0,0,0,1399.96769212182,356.2,"板南線",20979.7081186165,5020.29188138353,0.193088149283982
"中山區",102400,19592,"未知","低樓層",11,"辦公商業大樓",0,1,"未知",1095,1,0,0,1,0,0,0,0,245.09,53,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,261.281503166093,530.733333333333,"中和新蘆線",159585.477600093,57185.4776000931,0.558451929688409
"中山區",35000,19614,"未知","低樓層",4,"店面(店鋪)",1,1,"未知",1095,0,0,0,0,0,3,1,1,49.59,47,"鋼筋混凝土造類",0,0,0,0,0,1,0,0,219.390283643679,626.533333333333,"文湖線",48232.8183309961,13232.8183309961,0.378080523742746
"士林區",23000,19604,"整棟(戶)出租","低樓層",11,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅代管",365,1,1,0,1,3,1,2,1,122.46,42,"鋼筋混凝土造類",1,1,1,1,1,1,0,0,385.161692158066,264.375,"淡水信義線",27131.2561410871,4131.2561410871,0.179619832221178
"北投區",15000,19611,"整棟(戶)出租","低樓層",5,"華廈(10層含以下有電梯)",0,1,"一般轉租",1095,0,0,1,1,1,0,1,1,66.28,10,"鋼筋混凝土造類",1,1,0,1,0,0,0,0,934.192207359133,263.9,"新北投支線",27393.9663874801,12393.9663874801,0.826264425832007
"萬華區",17000,19606,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"社會住宅包租轉租",365,0,0,0,0,3,1,1,1,51.81,48,"鋼筋混凝土造類",1,1,0,0,0,0,0,0,1377.05644054039,368.5,"板南線",16671.2793390993,328.720660900668,0.0193365094647452
"萬華區",7000,19601,"獨立套房","低樓層",12,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅代管",365,1,1,1,1,1,1,1,1,19.1,46,"鋼筋混凝土造類",1,1,1,1,1,0,0,0,649.777506268822,380,"松山新店線",8991.3853459231,1991.3853459231,0.284483620846157
"中山區",60000,19615,"整棟(戶)出租","低樓層",10,"華廈(10層含以下有電梯)",1,1,"未知",365,1,1,0,1,4,2,2,1,229.72,23,"鋼筋混凝土造類",1,0,0,0,0,0,0,0,214.459658019464,526.133333333333,"文湖線",70860.4659003795,10860.4659003795,0.181007765006325
"內湖區",33000,19622,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"未知",1827,0,0,0,0,3,2,2,1,116.38,33,"鋼筋混凝土造類",1,1,0,0,0,0,0,0,1078.49964738251,265,"文湖線",27964.9373960756,5035.06260392442,0.152577654664376
"信義區",35000,19606,"整棟(戶)出租","低樓層",6,"華廈(10層含以下有電梯)",0,1,"社會住宅代管",288,1,1,1,1,3,1,2,1,107.99,39,"鋼筋混凝土造類",1,1,0,0,0,1,0,0,1508.65567769675,352,"淡水信義線",29285.2836676965,5714.71633230353,0.163277609494387
"北投區",24000,19621,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,3,2,1,1,97.08,43,"鋼筋混凝土造類",1,1,0,0,0,1,0,0,547.910678181669,257.173913043478,"淡水信義線",22821.0878572313,1178.91214276868,0.0491213392820284
"中山區",33000,19597,"整棟(戶)出租","低樓層",15,"住宅大樓(11層含以上有電梯)",0,1,"未知",365,1,1,1,1,1,1,1,1,63.55,15,"鋼筋混凝土造類",1,1,1,1,1,1,0,0,493.352382603125,511.233333333333,"淡水信義線",36034.5353339358,3034.53533393582,0.0919556161798733
"內湖區",19000,19612,"整棟(戶)出租","低樓層",14,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅包租轉租",365,1,1,1,1,1,1,1,1,42.92,14,"鋼筋混凝土造類",1,1,0,0,1,0,0,0,1191.42584477649,393.130434782609,"文湖線",18287.9517473587,712.048252641296,0.0374762238232261
"中山區",43000,19612,"整棟(戶)出租","低樓層",15,"住宅大樓(11層含以上有電梯)",1,1,"未知",365,1,0,0,1,3,2,2,1,120.79,37,"鋼筋混凝土造類",1,1,0,0,0,1,0,0,419.647848078815,355.136363636364,"文湖線",36360.4130691936,6639.5869308064,0.154408998390846
"中山區",32000,19601,"整棟(戶)出租","低樓層",10,"華廈(10層含以下有電梯)",0,1,"未知",730,1,1,1,1,1,1,1,1,54.03,15,"鋼筋混凝土造類",1,1,1,1,1,0,0,0,166.734626299301,516.5,"淡水信義線",34529.9456564674,2529.94565646738,0.0790608017646057
"北投區",11000,19612,"獨立套房","低樓層",2,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,1,0,1,1,33.2,53,"加強磚造類",1,1,1,1,0,0,0,0,782.125447687722,272.666666666667,"淡水信義線",13397.9822523155,2397.98225231555,0.21799838657414
"北投區",17500,19626,"整棟(戶)出租","透天厝",1,"透天厝",0,1,"社會住宅包租轉租",730,0,0,0,0,2,2,1,1,61.2,56,"加強磚造類",0,1,0,0,0,1,0,0,845.59335097375,269.230769230769,"淡水信義線",18189.974864903,689.974864902953,0.0394271351373116
"大同區",18000,19618,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"社會住宅包租轉租",365,0,0,0,0,2,2,1,1,83.39,37,"鋼筋混凝土造類",1,1,0,0,0,0,0,0,343.171550853502,531.066666666667,"淡水信義線",20688.751833318,2688.751833318,0.149375101851
"萬華區",16000,19618,"整棟(戶)出租","低樓層",12,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅代管",365,1,1,1,1,1,1,1,1,46.27,41,"鋼筋混凝土造類",1,1,1,1,1,1,0,0,1336.64377358153,313.266666666667,"淡水信義線",16383.4233466914,383.423346691439,0.023963959168215
"中山區",11800,19613,"獨立套房","中樓層",12,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅代管",365,1,1,1,1,1,0,1,1,46.92,42,"鋼筋混凝土造類",1,1,1,1,1,1,0,0,203.051799793502,511.1,"中和新蘆線",14159.7135706598,2359.71357065983,0.199975726327104
"松山區",68250,19618,"整棟(戶)出租","低樓層",7,"華廈(10層含以下有電梯)",0,1,"未知",2190,1,0,0,1,3,2,2,1,170.37,41,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,458.826560740825,491.266666666667,"板南線",60104.9255630014,8145.07443699859,0.119341749992653
"大安區",43000,19618,"整棟(戶)出租","低樓層",6,"公寓(5樓含以下無電梯)",0,1,"未知",365,0,0,0,0,4,2,2,1,105.34,48,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,264.137629763264,490.235294117647,"文湖線",39551.8969699914,3448.1030300086,0.0801884425583395
"萬華區",24000,19608,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"社會住宅包租轉租",327,0,0,1,0,3,2,2,1,97.83,34,"鋼筋混凝土造類",1,1,1,0,1,1,0,0,431.819719129499,296.666666666667,"板南線",21954.9891806908,2045.01081930916,0.0852087841378817
"萬華區",19000,19621,"整棟(戶)出租","低樓層",4,"公寓(5樓含以下無電梯)",0,1,"一般代管",365,0,0,1,0,1,0,1,1,89.42,48,"鋼筋混凝土造類",1,1,0,1,1,0,0,0,1333.82997509603,313.333333333333,"板南線",18058.359867147,941.64013285303,0.0495600069922647
"內湖區",18000,19612,"整棟(戶)出租","低樓層",12,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅包租轉租",365,1,1,1,1,1,0,1,1,43.54,16,"鋼筋混凝土造類",1,0,1,1,1,0,0,0,1163.22771420466,361.230769230769,"文湖線",19010.5625242862,1010.56252428623,0.0561423624603459
"南港區",18000,19612,"整棟(戶)出租","低樓層",7,"華廈(10層含以下有電梯)",0,1,"社會住宅代管",365,1,1,0,1,3,2,2,1,98.44,29,"鋼筋混凝土造類",0,1,0,0,0,1,0,0,1526.97544550878,205.555555555556,"文湖線",22468.7416490403,4468.7416490403,0.248263424946683
"南港區",16500,19614,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,3,2,2,1,119.05,39,"鋼筋混凝土造類",1,1,1,1,1,1,0,0,1881.58804693939,243.181818181818,"板南線",23862.0276797402,7362.02767974024,0.446183495741833
"南港區",18400,19615,"整棟(戶)出租","低樓層",16,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅代管",365,1,1,1,1,1,0,1,1,43.11,27,"鋼筋混凝土造類",1,1,0,0,1,0,0,0,322.737676924171,516.6,"松山新店線",16618.4796199127,1781.52038008725,0.0968217597873506
"松山區",75000,19600,"未知","中樓層",12,"住宅大樓(11層含以上有電梯)",0,1,"未知",1095,1,1,0,1,0,0,0,0,173.44,46,"鋼筋混凝土造類",1,1,0,0,0,0,0,0,532.173216652105,434.333333333333,"板南線",65971.2188645109,9028.78113548913,0.120383748473188
