"鄉鎮市區","總額元","租賃年月日","出租型態","總樓層數","建物型態","租賃住宅服務","租賃天數","有無電梯","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物總面積平方公尺","屋齡","附屬設備-冷氣","附屬設備-熱水器","附屬設備-洗衣機","附屬設備-電視機","附屬設備-瓦斯或天然氣","附屬設備-有線電視","附屬設備-網路","捷運站距離(公尺)","附近建物單位成交均價","捷運線","Predicted","AbsError","MAPE"
"中山區",43000,19612,"整棟(戶)出租",15,"住宅大樓(11層含以上有電梯)","未知",365,1,3,2,2,120.79,37,1,1,0,0,1,0,0,419.647848078815,355.136363636364,"文湖線",38893.6918452986,4106.30815470142,0.0954955384814284
"中山區",32000,19601,"整棟(戶)出租",10,"華廈(10層含以下有電梯)","未知",730,1,1,1,1,54.03,15,1,1,1,1,0,0,0,166.734626299301,516.5,"淡水信義線",35017.8234591008,3017.82345910081,0.0943069830969005
"北投區",11000,19612,"獨立套房",2,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,1,0,1,33.2,53,1,1,1,1,0,0,0,782.125447687722,272.666666666667,"淡水信義線",13296.3739549428,2296.37395494278,0.208761268631162
"北投區",17500,19626,"整棟(戶)出租",1,"透天厝","社會住宅包租轉租",730,0,2,2,1,61.2,56,0,1,0,0,1,0,0,845.59335097375,269.230769230769,"淡水信義線",17508.7209988077,8.72099880770838,0.000498342789011908
"大同區",18000,19618,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","社會住宅包租轉租",365,0,2,2,1,83.39,37,1,1,0,0,0,0,0,343.171550853502,531.066666666667,"淡水信義線",20970.6257138942,2970.62571389418,0.16503476188301
"萬華區",16000,19618,"整棟(戶)出租",12,"住宅大樓(11層含以上有電梯)","社會住宅代管",365,1,1,1,1,46.27,41,1,1,1,1,1,0,0,1336.64377358153,313.266666666667,"淡水信義線",15660.197309822,339.802690178025,0.0212376681361266
"中山區",11800,19613,"獨立套房",12,"住宅大樓(11層含以上有電梯)","社會住宅代管",365,1,1,0,1,46.92,42,1,1,1,1,1,0,0,203.051799793502,511.1,"中和新蘆線",14647.6479198793,2847.64791987928,0.241326094905023
"松山區",68250,19618,"整棟(戶)出租",7,"華廈(10層含以下有電梯)","未知",2190,1,3,2,2,170.37,41,0,0,0,0,0,0,0,458.826560740825,491.266666666667,"板南線",59700.7288635386,8549.27113646136,0.125264045955478
"大安區",43000,19618,"整棟(戶)出租",6,"公寓(5樓含以下無電梯)","未知",365,0,4,2,2,105.34,48,0,0,0,0,0,0,0,264.137629763264,490.235294117647,"文湖線",37989.1066028358,5010.89339716423,0.116532404585215
"萬華區",24000,19608,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","社會住宅包租轉租",327,0,3,2,2,97.83,34,1,1,1,0,1,0,0,431.819719129499,296.666666666667,"板南線",23479.0907118337,520.909288166269,0.0217045536735945
"萬華區",19000,19621,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","一般代管",365,0,1,0,1,89.42,48,1,1,0,1,0,0,0,1333.82997509603,313.333333333333,"板南線",18393.8924368912,606.10756310885,0.0319003980583605
